Stkcd	Accper	Typrep	Fn02301	Fn02302	Fn02303	Fn02304	Fn02305	Fn02308	Fn02309	Fn02306	Fn02307	Fnother
000008	2016-12-31	1	1	公铁两用牵引车		1044594.1300	1044594.1300		1044594.1300		CNY	本期增加包括：其他878,070.44。  
000008	2016-12-31	1	1	全断面焊缝卧式加工中心		3222982.2800	3222982.2800		3222982.2800		CNY	本期增加包括：其他2,541,149.68。  
000008	2016-12-31	1	1	高铁无砟轨道换轨装置		2105495.0900	2105495.0900		2105495.0900		CNY	本期增加包括：其他1,727,095.97。  
000008	2016-12-31	1	1	双频正火装置		2035544.6300	2035544.6300		2035544.6300		CNY	本期增加包括：其他1,490,427.94。  
000008	2016-12-31	1	1	高铁声屏障自动跨障紧固装置		1616422.4400	1616422.4400		1616422.4400		CNY	本期增加包括：其他1,393,531.66。  
000008	2016-12-31	1	1	钢轨全断面除浮锈机		1878490.1200	1878490.1200		1878490.1200		CNY	本期增加包括：其他1,376,842.01。  
000008	2016-12-31	1	1	无缝线路施工轨道拉伸位移监测系统		1739040.0000	1739040.0000		1739040.0000		CNY	
000008	2016-12-31	1	1	4头钢轨打磨装置		2346023.1900	2346023.1900		2346023.1900		CNY	
000008	2016-12-31	1	1	线路障碍（崩塌落石）自动监测报警系统		1392249.6600	1392249.6600		1392249.6600		CNY	
000008	2016-12-31	1	1	三层作业平台防护网挂钩		327408.3500	327408.3500		327408.3500		CNY	
000008	2016-12-31	1	1	充电机		714509.7700	714509.7700		714509.7700		CNY	
000008	2016-12-31	1	1	基于时钟同步的JD-II型计算机联锁系统		5720937.7600				5720937.7600	CNY	
000008	2016-12-31	1	1	EI32-JD型计算机联锁系统城轨互联互通		743702.3300				743702.3300	CNY	
000008	2016-12-31	1	1	LEU1-JDV1.0产品		902787.8900				902787.8900	CNY	
000008	2016-12-31	1	1	合计		25790187.6400	18422759.6600		18422759.6600	7367427.9800	CNY	本年内部研发支出资本化金额16,383,069.94元，占全年总研发支出的11.98%。其他增加系合并范围增加所致。
000009	2016-12-31	1	1	二代马痔膏项目	4318370.3200	431642.9700				4750013.2900	CNY	二代马痔膏项目系公司子公司马应龙药业集团股份有限公司自主开发研究项目，已获得国家食品药品监督管理总局药物临床试验批件，目前处于临床试验阶段，项目进入临床试验阶段后开始资本化。
000009	2016-12-31	1	1	巴柳氮钠胶囊项目	4459080.3100	330099.6900				4789180.0000	CNY	巴柳氮钠胶囊、硫酸普拉睾酮钠、洛芬待因缓释胶囊等项目系公司子公司马应龙药业集团股份有限公司外部购入时相关技术已研发完成，目前项目处于临床研究阶段，自购入时开始资本化。
000009	2016-12-31	1	1	阿维莫泮项目	936304.5000		936304.5000	16304.5000			CNY	其中本期减少包括：其他920,000.00。阿维莫泮项目，系公司子公司马应龙药业集团股份有限公司外部购入，本期已终止研发，支付的外购款项已收回。
000009	2016-12-31	1	1	硫酸普拉睾酮钠	928510.7600	3815138.1600				4743648.9200	CNY	
000009	2016-12-31	1	1	洛芬待因缓释胶囊		970759.3700				970759.3700	CNY	
000009	2016-12-31	1	1	合计	10642265.8900	5547640.1900	936304.5000	16304.5000		15253601.5800	CNY	
000009	2015-12-31	1	1	二代马痔膏项目	3771487.9700	546882.3500				4318370.3200	CNY	
000009	2015-12-31	1	1	巴柳氮钠胶囊项目	2030188.6200	2428891.6900				4459080.3100	CNY	
000009	2015-12-31	1	1	阿维莫泮项目		936304.5000				936304.5000	CNY	
000009	2015-12-31	1	1	硫酸普拉睾酮钠		928510.7600				928510.7600	CNY	
000009	2015-12-31	1	1	新型负极材料的研究与开发		3006727.6900	3006727.6900		3006727.6900		CNY	
000009	2015-12-31	1	1	合计	5801676.5900	7847316.9900	3006727.6900		3006727.6900	10642265.8900	CNY	二代马痔膏项目系公司子公司马应龙药业集团股份有限公司自主开发研究项目，已获得国家食品药品监督管理总局药物临床试验批件，目前处于临床试验阶段，项目进入临床试验阶段后开始资本化.巴柳氮钠胶囊、阿维莫泮项目、硫酸普拉睾酮钠等项目系公司子公司马应龙药业集团股份有限公司外部购入时相关技术已研发完成，目前项目处于临床研究阶段，公司自购入时开始资本化。新型负极材料的研究与开发项目，系公司子公司深圳市贝特瑞新能源材料股份有限公司自主开发研究项目，相关资本化开始时点为完成小试实验研究且送样检验通过。至相关产品正常批量生产时
000009	2014-12-31	1	1	二代马痔膏项目	3423081.8900	348406.0800				3771487.9700	CNY	
000009	2014-12-31	1	1	巴柳氮钠胶囊项目		2030188.6200				2030188.6200	CNY	本期新增巴柳氮钠胶囊项目系公司子公司马应龙药业集团股份有限公司自外部购入时相关技术已研发完成，目前项目处于申报新药证书阶段，自购入时开始资本化。
000009	2014-12-31	1	1	基础电源模块研究	205737.0500		205737.0500	205737.0500			CNY	
000009	2014-12-31	1	1	合计	3628818.9400	2378594.7000	205737.0500	205737.0500		5801676.5900	CNY	
000009	2013-12-31	1	1	二代马应龙痔疮膏	2995872.9600	427208.9300				3423081.8900	CNY	
000009	2013-12-31	1	1	其他治痔类肛肠系列药品研发		10485380.3300	10485380.3300	10485380.3300			CNY	
000009	2013-12-31	1	1	混合动力汽车用的电机	1970091.1300	6739694.7200	8709785.8500	8709785.8500			CNY	
000009	2013-12-31	1	1	基础通用电源模块研究		4053795.9200	3848058.8700	3848058.8700		205737.0500	CNY	
000009	2013-12-31	1	1	某电源控制系统	121239.8500	1457902.9200	1579142.7700	1579142.7700			CNY	
000009	2013-12-31	1	1	信号系统配套电源	102941.1800	2185055.9100	2287997.0900	2287997.0900			CNY	
000009	2013-12-31	1	1	电池测试相关技术研发		2903363.1900	2903363.1900	2903363.1900			CNY	
000009	2013-12-31	1	1	新能源材料相关技术研发		36147542.7900	36147542.7900	36147542.7900			CNY	
000009	2013-12-31	1	1	高强韧细晶贝氏体材料研究		363143.5800	363143.5800	363143.5800			CNY	
000009	2013-12-31	1	1	碳纤维材料技术研究		3549220.2600	3549220.2600	3549220.2600			CNY	
000009	2013-12-31	1	1	汽车尾气滤净材料技术研究		285797.0600	285797.0600	285797.0600			CNY	
000009	2013-12-31	1	1	生物农药制备技术研究		808171.6300	808171.6300	808171.6300			CNY	
000009	2013-12-31	1	1	合计	5190145.1200	69406277.2400	70967603.4200	70967603.4200		3628818.9400	CNY	本期开发支出占本期研究开发项目支出总额的比例0.91%。
000012	2016-12-31	1	1	开发支出	26280426.0000	65619027.0000	24971739.0000	1757954.0000	23213785.0000	66927714.0000	CNY	
